payment_id,invoice_id,payment_date,payment_amount,payment_method,retry_count
P0000101,INV000105,2024-10-16,2473.9,ACH,1
P0000102,INV000106,2024-11-06,2473.9,ACH,3
P0000103,INV000107,2024-12-17,2473.9,Card,1
P0000104,INV000108,2024-05-02,1076.32,ACH,3
P0000105,INV000108,2024-05-21,300.18,ACH,2
P0000106,INV000110,2024-07-21,3031.6,Card,0
P0000107,INV000111,2024-08-20,3031.6,Wire,3
P0000108,INV000112,2024-10-08,3031.6,Wire,2
P0000109,INV000113,2024-11-08,3031.6,Wire,1
P0000110,INV000114,2024-12-04,3031.6,Card,1
P0000111,INV000115,2024-12-11,2392.85,Card,3
P0000112,INV000116,2023-01-05,130.9,Card,2
P0000113,INV000117,2023-03-05,130.9,ACH,0
P0000114,INV000118,2023-03-22,117.19,ACH,2
P0000115,INV000119,2023-04-16,130.9,Card,1
P0000116,INV000120,2023-05-28,106.65,Card,1
P0000117,INV000121,2023-07-05,124.13,Wire,2
P0000118,INV000122,2023-07-02,130.9,ACH,1
P0000119,INV000123,2023-08-26,130.9,Wire,3
P0000120,INV000124,2023-09-23,102.69,Card,1
P0000121,INV000125,2023-10-14,130.9,Card,1
P0000122,INV000126,2023-11-08,117.04,ACH,1
P0000123,INV000127,2023-12-10,130.9,Wire,3
P0000124,INV000128,2024-01-17,130.9,Wire,0
P0000125,INV000131,2024-04-07,92.4,ACH,1
P0000126,INV000132,2024-04-06,72.28,ACH,1
P0000127,INV000133,2024-05-08,92.4,ACH,1
P0000128,INV000134,2024-07-02,92.4,Wire,0
P0000129,INV000135,2024-07-02,83.16,ACH,1
P0000130,INV000136,2024-08-22,92.4,ACH,3
P0000131,INV000137,2024-09-09,74.3,Wire,3
P0000132,INV000138,2024-10-28,92.4,Wire,1
P0000133,INV000139,2024-11-18,92.4,Card,2
P0000134,INV000140,2024-12-05,77.81,ACH,3
P0000135,INV000141,2024-12-07,104.5,Wire,1
P0000136,INV000142,2024-08-23,151.8,Wire,3
P0000137,INV000143,2024-09-03,53.77,Card,0
P0000138,INV000143,2024-09-07,20.93,Wire,3
P0000139,INV000145,2024-11-04,121.08,ACH,0
P0000140,INV000146,2024-12-20,48.35,Card,3
P0000141,INV000147,2023-06-17,61.6,ACH,1
P0000142,INV000148,2023-07-09,61.6,Card,3
P0000143,INV000149,2023-08-23,61.6,ACH,0
P0000144,INV000150,2023-09-25,55.46,Wire,0
P0000145,INV000151,2023-10-09,2861.17,Wire,1
P0000146,INV000153,2023-11-17,2453.17,Wire,2
P0000147,INV000154,2023-12-05,3095.4,ACH,0
P0000148,INV000155,2024-01-03,2429.49,ACH,1
P0000149,INV000156,2024-03-03,2344.46,Card,2
P0000150,INV000157,2024-03-02,2513.75,Wire,2
P0000151,INV000158,2023-06-02,163.9,ACH,0
P0000152,INV000159,2023-06-28,163.9,ACH,0
P0000153,INV000160,2023-07-28,163.9,Wire,2
P0000154,INV000162,2023-08-13,116.6,ACH,1
P0000155,INV000163,2023-09-20,99.01,ACH,0
P0000156,INV000165,2023-11-15,86.69,Wire,2
P0000157,INV000166,2023-12-13,104.59,Wire,0
P0000158,INV000167,2024-01-07,37.99,ACH,0
P0000159,INV000167,2024-01-22,7.4,ACH,2
P0000160,INV000168,2024-03-08,116.6,ACH,3
P0000161,INV000169,2024-03-28,116.6,Wire,2
P0000162,INV000170,2024-05-09,116.6,Card,3
P0000163,INV000171,2024-06-07,80.47,Card,2
P0000164,INV000172,2024-06-25,116.6,Wire,1
P0000165,INV000173,2024-07-23,116.6,Card,3
P0000166,INV000174,2024-08-15,42.76,Card,1
P0000167,INV000174,2024-08-02,11.34,Wire,1
P0000168,INV000175,2024-08-09,112.01,Wire,2
P0000169,INV000176,2024-09-19,130.9,ACH,0
P0000170,INV000177,2024-10-24,130.9,Wire,0
P0000171,INV000178,2024-12-09,130.9,ACH,0
P0000172,INV000179,2024-12-16,130.9,ACH,3
P0000173,INV000180,2023-05-06,376.2,Card,0
P0000174,INV000181,2023-06-13,324.59,Card,2
P0000175,INV000182,2023-07-29,311.08,Card,3
P0000176,INV000183,2023-08-04,74.88,Card,1
P0000177,INV000183,2023-09-05,36.04,Wire,3
P0000178,INV000184,2023-09-27,376.2,Card,0
P0000179,INV000185,2023-10-09,376.2,Card,1
P0000180,INV000186,2023-11-04,82.76,Card,0
P0000181,INV000186,2023-11-16,47.19,Wire,1
P0000182,INV000187,2024-01-04,376.2,Wire,3
P0000183,INV000189,2024-03-03,376.2,ACH,1
P0000184,INV000190,2024-03-31,308.73,Wire,3
P0000185,INV000191,2024-04-21,276.58,ACH,0
P0000186,INV000192,2024-05-03,376.2,Card,0
P0000187,INV000193,2023-09-04,69.3,Card,2
P0000188,INV000195,2023-10-17,69.3,Wire,0
P0000189,INV000196,2023-11-05,57.62,ACH,0
P0000190,INV000197,2023-12-29,69.3,Wire,1
P0000191,INV000198,2024-01-12,55.52,Card,2
P0000192,INV000199,2024-02-25,54.14,ACH,0
P0000193,INV000200,2024-03-17,69.3,ACH,3
P0000194,INV000201,2024-05-06,62.5,Wire,3
P0000195,INV000202,2024-05-23,69.3,ACH,2
P0000196,INV000203,2024-07-08,69.3,Card,2
P0000197,INV000204,2024-07-03,69.3,ACH,0
P0000198,INV000205,2024-08-22,62.16,ACH,0
P0000199,INV000206,2024-08-02,842.13,Card,1
P0000200,INV000206,2024-08-01,795.37,Card,2
P0000201,INV000207,2024-09-02,2808.3,Card,0
P0000202,INV000208,2024-10-24,2089.96,Wire,1
P0000203,INV000209,2024-11-06,2808.3,ACH,0
P0000204,INV000210,2024-11-21,128.74,Card,3
P0000205,INV000211,2024-12-29,147.4,Card,0
P0000206,INV000212,2024-01-04,25.11,Card,1
P0000207,INV000212,2024-01-31,9.58,Card,1
P0000208,INV000213,2024-03-09,128.7,Wire,3
P0000209,INV000214,2024-04-02,128.7,ACH,0
P0000210,INV000215,2024-04-21,128.7,Wire,3
P0000211,INV000216,2024-05-06,117.4,ACH,1
P0000212,INV000217,2024-06-17,111.05,Wire,2
P0000213,INV000218,2024-07-19,128.7,Wire,2
P0000214,INV000219,2023-12-02,1531.2,Card,2
P0000215,INV000220,2023-12-06,1531.2,Wire,2
P0000216,INV000221,2024-01-05,1282.34,Card,0
P0000217,INV000222,2024-02-02,1531.2,Card,2
P0000218,INV000223,2024-04-09,1283.71,ACH,2
P0000219,INV000224,2024-04-19,1309.75,Wire,2
P0000220,INV000225,2024-05-21,1531.2,ACH,1
P0000221,INV000226,2024-07-06,1217.41,Card,3
P0000222,INV000227,2024-07-13,914.58,ACH,0
P0000223,INV000228,2024-09-06,1430.31,Card,2
P0000224,INV000229,2024-09-01,1389.2,Wire,2
P0000225,INV000230,2024-10-05,1531.2,ACH,1
P0000226,INV000231,2024-12-03,1256.72,Wire,2
P0000227,INV000233,2023-08-16,2163.12,Wire,0
P0000228,INV000234,2023-10-09,2754.4,ACH,1
P0000229,INV000235,2023-10-24,2754.4,ACH,3
P0000230,INV000236,2023-11-02,2754.4,Wire,3
P0000231,INV000238,2024-01-14,2754.4,ACH,0
P0000232,INV000239,2024-02-02,2754.4,ACH,1
P0000233,INV000240,2024-03-22,2415.41,Card,2
P0000234,INV000241,2024-04-24,2754.4,Wire,1
P0000235,INV000242,2024-05-24,2142.14,Card,0
P0000236,INV000243,2024-07-07,2754.4,Card,2
P0000237,INV000244,2024-08-03,2754.4,ACH,1
P0000238,INV000245,2024-09-02,2300.92,Wire,0
P0000239,INV000246,2024-10-10,1444.73,Card,0
P0000240,INV000247,2024-10-08,2293.28,Card,1
P0000241,INV000248,2024-11-22,2754.4,Card,3
P0000242,INV000249,2025-01-06,2353.47,Card,0
P0000243,INV000250,2024-03-16,436.7,Card,3
P0000244,INV000251,2024-05-02,349.86,Wire,3
P0000245,INV000252,2024-05-11,436.7,Wire,2
P0000246,INV000253,2024-06-12,436.7,ACH,0
P0000247,INV000254,2024-07-31,412.32,ACH,1
P0000248,INV000255,2024-08-12,412.96,Wire,0
P0000249,INV000256,2024-09-02,436.7,Card,2
P0000250,INV000257,2024-11-09,414.74,ACH,1
P0000251,INV000258,2024-11-25,436.7,Card,3
P0000252,INV000259,2024-12-24,388.86,Card,2
P0000253,INV000260,2023-05-07,65.96,ACH,0
P0000254,INV000260,2023-05-03,18.71,Wire,1
P0000255,INV000261,2023-05-30,109.06,Card,0
P0000256,INV000262,2023-06-06,116.6,ACH,1
P0000257,INV000263,2023-07-05,116.6,Wire,0
P0000258,INV000264,2023-08-04,116.6,Card,0
P0000259,INV000266,2023-10-26,77.24,Wire,2
P0000260,INV000267,2023-12-04,47.32,Card,3
P0000261,INV000268,2023-12-06,116.6,Card,2
P0000262,INV000269,2024-01-03,97.61,Card,1
P0000263,INV000270,2024-02-09,116.6,Card,1
P0000264,INV000271,2024-03-03,116.6,ACH,2
P0000265,INV000272,2024-04-01,116.6,Card,0
P0000266,INV000273,2024-05-21,116.6,Card,0
P0000267,INV000274,2024-07-06,116.6,Wire,3
P0000268,INV000275,2024-07-31,37.43,Card,0
P0000269,INV000276,2024-09-02,74.44,Wire,0
P0000270,INV000277,2024-09-21,104.86,Card,2
P0000271,INV000278,2024-10-09,102.33,Card,1
P0000272,INV000279,2024-11-29,97.66,Card,1
P0000273,INV000280,2024-12-28,76.77,Wire,0
P0000274,INV000281,2023-08-22,1525.7,Card,3
P0000275,INV000282,2023-10-04,1525.7,ACH,2
P0000276,INV000283,2023-10-27,777.7,ACH,1
P0000277,INV000284,2023-11-16,1525.7,Card,2
P0000278,INV000286,2023-10-07,123.2,Card,3
P0000279,INV000287,2023-11-22,38.13,Wire,0
P0000280,INV000287,2023-12-05,6.25,ACH,0
P0000281,INV000288,2023-12-06,123.2,Card,3
P0000282,INV000289,2024-02-01,94.91,Card,1
P0000283,INV000290,2024-03-01,123.2,Card,1
P0000284,INV000291,2024-04-03,49.86,Wire,1
P0000285,INV000291,2024-03-16,9.58,Wire,3
P0000286,INV000292,2024-04-02,101.49,Card,0
P0000287,INV000293,2024-05-24,123.2,ACH,2
P0000288,INV000294,2024-06-06,102.99,ACH,0
P0000289,INV000295,2024-08-05,50.97,Card,1
P0000290,INV000296,2024-08-02,123.2,Card,3
P0000291,INV000298,2024-10-02,82.5,Wire,1
P0000292,INV000300,2024-11-04,77.25,Wire,2
P0000293,INV000301,2025-01-09,82.5,Wire,2
P0000294,INV000302,2023-12-04,453.2,ACH,0
P0000295,INV000303,2023-12-11,351.34,Card,3
P0000296,INV000304,2024-01-21,427.93,Card,3
P0000297,INV000305,2024-02-03,453.2,ACH,0
P0000298,INV000306,2024-03-04,453.2,ACH,1
P0000299,INV000307,2024-05-05,402.84,Card,3
P0000300,INV000309,2024-06-27,453.2,Wire,2
P0000301,INV000310,2024-07-23,229.08,Wire,0
P0000302,INV000311,2024-08-22,453.2,Wire,0
P0000303,INV000312,2024-10-04,122.95,ACH,3
P0000304,INV000312,2024-09-05,34.68,ACH,1
P0000305,INV000313,2024-11-08,453.2,ACH,1
P0000306,INV000314,2024-11-09,135.72,Card,2
P0000307,INV000314,2024-11-30,52.53,ACH,3
P0000308,INV000315,2024-11-24,97.9,Wire,0
P0000309,INV000316,2024-12-15,59.42,ACH,1
P0000310,INV000317,2024-07-17,431.56,Wire,1
P0000311,INV000318,2024-08-02,491.7,Wire,0
P0000312,INV000319,2024-09-22,491.7,ACH,3
P0000313,INV000320,2024-10-03,491.7,ACH,0
P0000314,INV000321,2024-11-18,391.84,Card,0
P0000315,INV000322,2024-12-16,491.7,Card,1
P0000316,INV000324,2023-06-19,507.1,Wire,2
P0000317,INV000325,2023-07-07,507.1,Card,0
P0000318,INV000326,2023-09-04,507.1,ACH,3
P0000319,INV000327,2023-09-16,507.1,Wire,2
P0000320,INV000329,2023-11-23,507.1,ACH,0
P0000321,INV000330,2023-12-03,101.2,ACH,1
P0000322,INV000331,2023-12-22,101.2,Wire,1
P0000323,INV000332,2024-01-14,58.39,ACH,3
P0000324,INV000333,2024-03-02,101.2,Card,3
P0000325,INV000334,2024-03-21,101.2,Card,0
P0000326,INV000335,2024-04-23,78.83,Card,2
P0000327,INV000336,2024-05-18,83.4,ACH,2
P0000328,INV000337,2024-07-05,34.34,Wire,0
P0000329,INV000338,2024-07-04,78.42,Wire,2
P0000330,INV000339,2024-08-20,101.2,Card,2
P0000331,INV000340,2024-10-01,89.04,Card,1
P0000332,INV000341,2024-10-20,91.87,Card,2
P0000333,INV000342,2024-11-01,84.08,ACH,0
P0000334,INV000343,2024-01-01,50.84,Wire,3
P0000335,INV000344,2024-02-28,51.28,ACH,0
P0000336,INV000345,2024-03-20,62.7,Card,2
P0000337,INV000346,2024-05-01,62.7,Card,2
P0000338,INV000347,2024-03-06,53.18,Wire,1
P0000339,INV000347,2024-03-25,26.62,Wire,3
P0000340,INV000348,2024-04-03,298.1,Wire,2
P0000341,INV000349,2024-05-01,71.67,ACH,1
P0000342,INV000349,2024-05-14,37.03,Wire,3
P0000343,INV000350,2024-06-20,276.42,Card,3
P0000344,INV000351,2024-07-18,298.1,Wire,0
P0000345,INV000352,2024-08-09,276.8,ACH,0
P0000346,INV000353,2024-09-11,298.1,ACH,1
P0000347,INV000354,2024-10-23,255.17,Card,1
P0000348,INV000355,2024-11-28,247.45,Wire,1
P0000349,INV000356,2025-01-09,298.1,Wire,0
P0000350,INV000357,2023-02-02,53.41,ACH,1
P0000351,INV000358,2023-03-27,67.1,Wire,0
P0000352,INV000359,2023-05-08,44.45,ACH,1
P0000353,INV000360,2023-05-05,67.1,Card,0
P0000354,INV000361,2024-04-04,83.71,Wire,0
P0000355,INV000362,2024-04-29,25.54,Wire,1
P0000356,INV000363,2024-05-18,67.74,ACH,1
P0000357,INV000364,2024-06-16,82.36,Wire,0
P0000358,INV000365,2024-07-15,82.07,ACH,0
P0000359,INV000366,2024-08-10,97.9,ACH,1
P0000360,INV000367,2024-09-21,97.9,Wire,0
P0000361,INV000368,2024-11-04,80.98,Card,2
P0000362,INV000369,2024-11-16,97.9,Wire,0
P0000363,INV000371,2023-05-08,89.1,Card,1
P0000364,INV000372,2023-06-04,89.1,ACH,1
P0000365,INV000373,2023-07-23,89.1,ACH,0
P0000366,INV000374,2023-08-15,89.1,Card,3
P0000367,INV000375,2023-09-18,89.1,Card,1
P0000368,INV000376,2023-11-02,28.83,ACH,2
P0000369,INV000376,2023-10-05,5.37,Card,1
P0000370,INV000377,2023-11-23,89.1,Card,2
P0000371,INV000378,2023-12-14,63.54,Card,3
P0000372,INV000380,2024-03-03,81.11,Wire,0
P0000373,INV000381,2024-04-01,73.56,Card,1
P0000374,INV000382,2024-04-12,89.1,ACH,3
P0000375,INV000383,2024-05-01,73.03,Wire,1
P0000376,INV000384,2024-05-06,104.14,Card,0
P0000377,INV000385,2024-06-15,31.92,Card,2
P0000378,INV000385,2024-07-10,8.43,Wire,3
P0000379,INV000386,2024-07-25,130.9,Card,0
P0000380,INV000388,2024-09-09,130.9,Wire,3
P0000381,INV000389,2024-11-09,130.9,Wire,1
P0000382,INV000390,2024-12-08,108.95,ACH,1
P0000383,INV000391,2024-12-27,101.16,Wire,1
P0000384,INV000392,2023-02-28,2147.2,ACH,1
P0000385,INV000393,2023-03-05,1902.82,Card,0
P0000386,INV000394,2023-05-03,2042.56,Wire,2
P0000387,INV000395,2023-05-30,2147.2,Wire,0
P0000388,INV000396,2023-06-13,2147.2,Wire,2
P0000389,INV000397,2023-07-24,2147.2,Wire,2
P0000390,INV000398,2023-08-21,2147.2,Card,3
P0000391,INV000399,2023-10-02,2147.2,ACH,3
P0000392,INV000400,2023-10-21,2025.04,Card,0
P0000393,INV000401,2023-11-20,1846.96,Wire,2
P0000394,INV000402,2023-12-02,1932.02,Card,0
P0000395,INV000403,2024-02-05,1858.71,ACH,3
P0000396,INV000404,2024-03-07,1994.09,ACH,2
P0000397,INV000405,2024-12-10,405.16,ACH,2
P0000398,INV000406,2024-12-27,504.9,ACH,0
P0000399,INV000407,2024-12-05,83.6,Card,2
P0000400,INV000408,2024-08-14,302.16,Wire,1
P0000401,INV000409,2024-09-14,388.3,Wire,0
P0000402,INV000410,2024-10-02,321.41,ACH,0
P0000403,INV000411,2024-11-18,388.3,Card,0
P0000404,INV000412,2025-01-03,311.19,Card,3
P0000405,INV000413,2023-09-01,619.08,Wire,2
P0000406,INV000414,2023-10-10,974.09,Wire,0
P0000407,INV000415,2023-10-13,798.44,Wire,3
P0000408,INV000416,2023-11-07,1170.4,Card,1
P0000409,INV000417,2023-12-22,1170.4,Wire,2
P0000410,INV000418,2024-02-09,1170.4,Card,0
P0000411,INV000419,2024-02-23,983.52,Card,3
P0000412,INV000420,2024-03-08,1170.4,Card,2
P0000413,INV000421,2024-05-02,1170.4,ACH,3
P0000414,INV000422,2024-05-04,1170.4,Card,3
P0000415,INV000423,2024-06-07,874.27,Card,0
P0000416,INV000424,2024-07-12,1001.41,Card,3
P0000417,INV000425,2024-09-08,1170.4,Wire,1
P0000418,INV000426,2024-08-08,633.6,ACH,1
P0000419,INV000427,2024-09-21,565.92,Card,3
P0000420,INV000428,2024-10-16,633.6,Wire,2
P0000421,INV000429,2024-11-07,633.6,Card,0
P0000422,INV000430,2024-12-28,633.6,Card,3
P0000423,INV000431,2023-03-05,161.7,ACH,1
P0000424,INV000432,2023-04-21,145.44,Wire,1
P0000425,INV000433,2023-05-17,161.7,ACH,1
P0000426,INV000434,2023-07-02,161.7,ACH,2
P0000427,INV000435,2023-07-04,161.7,Card,1
P0000428,INV000436,2023-08-24,161.7,Wire,2
P0000429,INV000437,2023-10-01,161.7,Wire,3
P0000430,INV000438,2023-10-14,161.7,Wire,2
P0000431,INV000439,2023-12-03,161.7,Wire,0
P0000432,INV000440,2023-12-27,161.7,ACH,1
P0000433,INV000441,2024-01-07,161.7,ACH,2
P0000434,INV000442,2024-02-26,138.03,ACH,2
P0000435,INV000443,2024-03-01,161.7,Card,3
P0000436,INV000444,2024-04-07,2245.1,Wire,0
P0000437,INV000445,2024-04-25,2245.1,Wire,0
P0000438,INV000446,2024-05-09,2245.1,Wire,3
P0000439,INV000447,2024-06-26,1762.03,ACH,3
P0000440,INV000448,2024-05-02,110.0,ACH,2
P0000441,INV000449,2024-07-07,110.0,Wire,1
P0000442,INV000451,2024-08-22,110.0,ACH,1
P0000443,INV000452,2024-10-10,93.61,Card,3
P0000444,INV000453,2024-10-10,110.0,ACH,1
P0000445,INV000454,2024-11-28,110.0,Card,3
P0000446,INV000455,2024-12-21,110.0,Wire,3
P0000447,INV000456,2023-11-14,641.3,Card,3
P0000448,INV000457,2023-12-27,641.3,Wire,3
P0000449,INV000458,2024-01-03,551.73,Card,2
P0000450,INV000460,2024-03-06,284.26,Card,1
P0000451,INV000460,2024-03-14,94.26,Card,0
P0000452,INV000461,2024-04-02,425.28,Card,0
P0000453,INV000462,2024-05-14,641.3,ACH,2
P0000454,INV000463,2023-03-10,600.6,Wire,2
P0000455,INV000464,2023-04-23,243.05,Wire,2
P0000456,INV000466,2023-06-18,600.6,Card,2
P0000457,INV000467,2023-07-17,412.21,ACH,3
P0000458,INV000468,2023-09-09,600.6,Wire,0
P0000459,INV000469,2023-09-17,528.13,Wire,0
P0000460,INV000470,2023-10-15,600.6,Card,1
P0000461,INV000471,2023-11-27,600.6,Wire,1
P0000462,INV000472,2023-12-05,241.29,ACH,3
P0000463,INV000473,2024-01-11,476.26,Wire,0
P0000464,INV000474,2024-02-15,97.76,ACH,3
P0000465,INV000474,2024-03-05,73.25,Card,2
P0000466,INV000475,2024-03-23,600.6,Wire,3
P0000467,INV000476,2024-04-15,600.6,ACH,0
P0000468,INV000477,2024-05-05,600.6,ACH,1
P0000469,INV000478,2024-06-18,600.6,Wire,2
P0000470,INV000479,2024-07-18,600.6,Card,0
P0000471,INV000480,2024-09-01,600.6,ACH,1
P0000472,INV000481,2024-09-22,297.56,Wire,0
P0000473,INV000481,2024-09-17,81.28,ACH,1
P0000474,INV000482,2024-10-12,600.6,ACH,1
P0000475,INV000483,2024-12-10,559.53,Card,3
P0000476,INV000484,2025-01-08,494.37,ACH,0
P0000477,INV000486,2024-01-04,420.03,ACH,1
P0000478,INV000487,2024-02-23,491.7,Card,0
P0000479,INV000488,2024-03-30,414.33,ACH,3
P0000480,INV000489,2024-03-07,14.29,Card,3
P0000481,INV000490,2024-04-22,47.12,ACH,2
P0000482,INV000491,2024-06-05,55.0,ACH,3
P0000483,INV000493,2024-07-22,55.0,Wire,3
P0000484,INV000494,2024-08-13,55.0,Card,3
P0000485,INV000495,2024-09-03,55.0,Card,1
P0000486,INV000497,2024-11-30,55.0,Wire,1
P0000487,INV000498,2024-12-14,48.39,Card,1
P0000488,INV000499,2023-01-02,480.99,Card,2
P0000489,INV000500,2023-02-03,542.3,Card,3
P0000490,INV000501,2023-03-28,390.15,Wire,0
P0000491,INV000502,2023-04-29,219.99,Card,3
P0000492,INV000502,2023-04-18,65.9,Wire,0
P0000493,INV000503,2023-06-03,473.97,Wire,1
P0000494,INV000504,2023-07-08,434.3,ACH,3
P0000495,INV000505,2023-08-01,495.4,Card,2
P0000496,INV000507,2024-11-05,93.25,Card,2
P0000497,INV000508,2024-12-01,13.96,Card,1
P0000498,INV000508,2024-12-14,10.82,Card,1
P0000499,INV000509,2023-07-22,1037.03,Wire,2
P0000500,INV000511,2023-09-06,2845.7,ACH,2
P0000501,INV000512,2023-10-24,2845.7,ACH,1
P0000502,INV000513,2023-11-07,2845.7,ACH,1
P0000503,INV000514,2023-12-30,2322.61,ACH,0
P0000504,INV000516,2024-02-29,2845.7,Card,3
P0000505,INV000517,2024-03-03,2532.06,ACH,1
P0000506,INV000518,2024-05-06,2845.7,Card,0
P0000507,INV000519,2024-05-07,399.4,Wire,1
P0000508,INV000519,2024-06-06,245.65,Card,0
P0000509,INV000520,2024-07-04,2845.7,Card,1
P0000510,INV000521,2024-07-25,1198.64,Wire,1
P0000511,INV000521,2024-08-05,712.45,Wire,0
P0000512,INV000522,2024-08-30,2370.13,Card,0
P0000513,INV000523,2024-09-23,2617.49,Card,2
P0000514,INV000524,2024-10-03,2845.7,ACH,0
P0000515,INV000525,2024-11-28,2845.7,Wire,0
P0000516,INV000526,2024-12-15,2239.95,Card,2
P0000517,INV000527,2024-05-01,459.8,ACH,3
P0000518,INV000528,2024-05-27,459.8,Card,2
P0000519,INV000529,2024-06-29,113.89,Wire,2
