usage_id,customer_id,subscription_id,date,feature_used,billable_units,billable_value
U0000042,C0001,S00002,2024-10-06,core_api,759,7.59
U0000043,C0001,S00002,2024-12-30,core_api,763,7.63
U0000044,C0001,S00002,2024-12-26,core_api,827,8.27
U0000045,C0001,S00002,2024-10-22,core_api,801,8.01
U0000046,C0001,S00002,2024-11-06,core_api,795,7.95
U0000047,C0001,S00002,2024-12-22,core_api,824,8.24
U0000048,C0001,S00002,2024-10-24,core_api,792,7.92
U0000049,C0001,S00002,2024-12-27,core_api,767,7.67
U0000050,C0001,S00002,2024-10-23,core_api,771,7.71
U0000051,C0001,S00002,2024-10-07,core_api,773,7.73
U0000052,C0001,S00002,2024-11-08,core_api,805,8.05
U0000053,C0001,S00002,2024-10-02,core_api,833,8.33
U0000054,C0001,S00002,2024-12-20,core_api,781,7.81
U0000055,C0001,S00002,2024-10-19,core_api,752,7.52
U0000056,C0001,S00002,2024-10-14,core_api,799,7.99
U0000057,C0001,S00002,2024-10-26,core_api,829,8.29
U0000058,C0001,S00002,2024-11-18,core_api,760,7.6
U0000059,C0001,S00002,2024-11-19,core_api,818,8.18
U0000060,C0001,S00002,2024-12-21,core_api,793,7.93
U0000061,C0001,S00002,2024-10-03,core_api,771,7.71
U0000062,C0002,S00003,2024-12-11,core_api,55,0.55
U0000063,C0002,S00003,2024-12-16,core_api,43,0.43
U0000064,C0002,S00003,2024-12-09,core_api,44,0.44
U0000065,C0002,S00003,2024-11-30,core_api,55,0.55
U0000066,C0002,S00003,2024-12-03,core_api,59,0.59
U0000067,C0002,S00003,2024-12-17,core_api,52,0.52
U0000068,C0002,S00003,2024-12-21,core_api,55,0.55
U0000069,C0002,S00003,2024-12-14,core_api,56,0.56
U0000070,C0002,S00003,2024-12-01,core_api,39,0.39
U0000071,C0002,S00003,2024-12-19,core_api,53,0.53
U0000072,C0002,S00003,2024-12-06,core_api,49,0.49
U0000073,C0002,S00003,2024-11-27,core_api,44,0.44
U0000074,C0002,S00003,2024-12-29,core_api,60,0.6
U0000075,C0002,S00003,2024-12-26,core_api,41,0.41
U0000076,C0002,S00003,2024-12-15,core_api,41,0.41
U0000077,C0002,S00003,2024-12-02,core_api,35,0.35
U0000078,C0002,S00003,2024-12-10,core_api,49,0.49
U0000079,C0002,S00003,2024-12-24,core_api,46,0.46
U0000080,C0002,S00003,2024-12-20,core_api,44,0.44
U0000081,C0002,S00003,2024-11-29,core_api,59,0.59
U0000082,C0002,S00003,2024-12-04,core_api,61,0.61
U0000083,C0002,S00003,2024-12-12,core_api,42,0.42
U0000084,C0002,S00003,2024-12-27,core_api,49,0.49
U0000085,C0002,S00003,2024-12-05,core_api,34,0.34
U0000086,C0002,S00003,2024-12-22,core_api,57,0.57
U0000087,C0002,S00003,2024-12-25,core_api,51,0.51
U0000088,C0002,S00003,2024-12-13,core_api,56,0.56
U0000089,C0002,S00003,2024-11-28,core_api,55,0.55
U0000090,C0002,S00003,2024-12-30,core_api,46,0.46
U0000091,C0002,S00003,2024-12-31,core_api,48,0.48
U0000092,C0002,S00003,2024-11-25,core_api,55,0.55
U0000093,C0002,S00003,2024-12-23,core_api,51,0.51
U0000094,C0002,S00003,2024-12-07,core_api,51,0.51
U0000095,C0002,S00003,2024-12-08,core_api,46,0.46
U0000096,C0002,S00003,2024-12-18,core_api,46,0.46
U0000097,C0002,S00003,2024-11-26,core_api,51,0.51
U0000098,C0002,S00003,2024-12-28,core_api,66,0.66
U0000099,C0003,S00004,2024-07-05,core_api,799,7.99
U0000100,C0003,S00004,2024-11-24,core_api,841,8.41
U0000101,C0003,S00004,2024-10-06,core_api,783,7.83
U0000102,C0003,S00004,2024-08-02,core_api,851,8.51
U0000103,C0003,S00004,2024-07-26,core_api,899,8.99
U0000104,C0003,S00004,2024-07-09,core_api,799,7.99
U0000105,C0003,S00004,2024-09-14,core_api,776,7.76
U0000106,C0003,S00004,2024-12-31,core_api,812,8.12
U0000107,C0003,S00004,2024-08-25,core_api,840,8.4
U0000108,C0003,S00004,2024-08-21,core_api,792,7.92
U0000109,C0003,S00004,2024-09-10,core_api,792,7.92
U0000110,C0003,S00004,2024-09-20,core_api,790,7.9
U0000111,C0003,S00004,2024-08-06,core_api,826,8.26
U0000112,C0003,S00004,2024-08-10,core_api,801,8.01
U0000113,C0003,S00004,2024-06-27,core_api,776,7.76
U0000114,C0003,S00004,2024-10-10,core_api,853,8.53
U0000115,C0003,S00004,2024-06-22,core_api,771,7.71
U0000116,C0003,S00004,2024-07-30,core_api,746,7.46
U0000117,C0003,S00004,2024-12-30,core_api,730,7.3
U0000118,C0003,S00004,2024-12-27,core_api,777,7.77
U0000119,C0003,S00004,2024-08-22,core_api,777,7.77
U0000120,C0003,S00004,2024-10-22,core_api,835,8.35
U0000121,C0004,S00005,2024-08-02,core_api,45,0.45
U0000122,C0004,S00005,2024-06-19,core_api,51,0.51
U0000123,C0004,S00005,2024-04-05,core_api,55,0.55
U0000124,C0004,S00005,2024-03-19,core_api,60,0.6
U0000125,C0004,S00005,2024-06-02,core_api,45,0.45
U0000126,C0004,S00005,2024-03-30,core_api,57,0.57
U0000127,C0004,S00005,2024-06-17,core_api,32,0.32
U0000128,C0004,S00005,2024-06-01,core_api,48,0.48
U0000129,C0004,S00005,2024-05-16,core_api,47,0.47
U0000130,C0004,S00005,2024-08-20,core_api,56,0.56
U0000131,C0004,S00005,2024-09-03,core_api,60,0.6
U0000132,C0004,S00005,2024-08-01,core_api,46,0.46
U0000133,C0004,S00005,2024-07-17,core_api,52,0.52
U0000134,C0004,S00005,2024-04-26,core_api,49,0.49
U0000135,C0004,S00005,2024-04-15,core_api,49,0.49
U0000136,C0004,S00005,2024-07-19,core_api,50,0.5
U0000137,C0004,S00005,2024-04-03,core_api,54,0.54
U0000138,C0004,S00005,2024-05-05,core_api,51,0.51
U0000139,C0004,S00005,2024-05-08,core_api,45,0.45
U0000140,C0004,S00005,2024-07-05,core_api,58,0.58
U0000141,C0004,S00005,2024-05-29,core_api,55,0.55
U0000142,C0004,S00005,2024-07-16,core_api,47,0.47
U0000143,C0004,S00005,2024-03-26,core_api,47,0.47
U0000144,C0004,S00005,2024-08-05,core_api,48,0.48
U0000145,C0004,S00005,2024-05-21,core_api,42,0.42
U0000146,C0004,S00005,2024-08-09,core_api,47,0.47
U0000147,C0004,S00005,2024-03-29,core_api,54,0.54
U0000148,C0004,S00005,2024-06-05,core_api,49,0.49
U0000149,C0004,S00005,2024-03-22,core_api,46,0.46
U0000150,C0004,S00005,2024-09-02,core_api,57,0.57
U0000151,C0004,S00005,2024-08-17,core_api,60,0.6
U0000152,C0004,S00005,2024-06-23,core_api,56,0.56
U0000153,C0004,S00005,2024-09-04,core_api,47,0.47
U0000154,C0005,S00006,2023-11-27,core_api,196,1.96
U0000155,C0005,S00006,2023-09-03,core_api,212,2.12
U0000156,C0005,S00006,2023-10-04,core_api,206,2.06
U0000157,C0005,S00006,2023-11-08,core_api,199,1.99
U0000158,C0005,S00006,2024-02-12,core_api,202,2.02
U0000159,C0005,S00006,2024-03-12,core_api,203,2.03
U0000160,C0005,S00006,2023-08-10,core_api,191,1.91
U0000161,C0005,S00006,2023-05-14,core_api,218,2.18
U0000162,C0005,S00006,2023-06-22,core_api,215,2.15
U0000163,C0005,S00006,2023-12-02,core_api,227,2.27
U0000164,C0005,S00006,2024-03-09,core_api,203,2.03
U0000165,C0005,S00006,2024-02-03,core_api,241,2.41
U0000166,C0005,S00006,2023-10-02,core_api,192,1.92
U0000167,C0005,S00006,2024-04-09,core_api,208,2.08
U0000168,C0005,S00006,2023-06-01,core_api,171,1.71
U0000169,C0005,S00006,2024-02-24,core_api,227,2.27
U0000170,C0005,S00006,2023-09-16,core_api,220,2.2
U0000171,C0005,S00006,2024-02-11,core_api,211,2.11
U0000172,C0005,S00006,2024-01-21,core_api,224,2.24
U0000173,C0005,S00006,2023-09-17,core_api,188,1.88
U0000174,C0005,S00006,2023-06-15,core_api,202,2.02
U0000175,C0005,S00006,2023-06-08,core_api,213,2.13
U0000176,C0005,S00006,2023-11-25,core_api,211,2.11
U0000177,C0005,S00006,2023-08-16,core_api,194,1.94
U0000178,C0005,S00006,2023-06-19,core_api,190,1.9
U0000179,C0006,S00007,2023-05-14,core_api,39,0.39
U0000180,C0006,S00007,2023-04-28,core_api,61,0.61
U0000181,C0006,S00007,2023-07-08,core_api,61,0.61
U0000182,C0006,S00007,2023-06-27,core_api,45,0.45
U0000183,C0006,S00007,2023-06-12,core_api,39,0.39
U0000184,C0006,S00007,2023-05-06,core_api,54,0.54
U0000185,C0006,S00007,2023-05-26,core_api,58,0.58
U0000186,C0006,S00007,2023-06-06,core_api,55,0.55
U0000187,C0006,S00007,2023-04-25,core_api,52,0.52
U0000188,C0006,S00007,2023-05-12,core_api,44,0.44
U0000189,C0006,S00007,2023-06-24,core_api,54,0.54
U0000190,C0006,S00007,2023-04-27,core_api,51,0.51
U0000191,C0006,S00007,2023-05-25,core_api,47,0.47
U0000192,C0006,S00007,2023-06-08,core_api,32,0.32
U0000193,C0006,S00007,2023-06-11,core_api,51,0.51
U0000194,C0006,S00007,2023-07-07,core_api,65,0.65
U0000195,C0006,S00007,2023-05-27,core_api,54,0.54
U0000196,C0006,S00007,2023-07-14,core_api,51,0.51
U0000197,C0006,S00007,2023-05-13,core_api,37,0.37
U0000198,C0006,S00007,2023-07-04,core_api,47,0.47
U0000199,C0006,S00007,2023-07-12,core_api,47,0.47
U0000200,C0006,S00007,2023-05-21,core_api,50,0.5
U0000201,C0006,S00007,2023-05-28,core_api,57,0.57
U0000202,C0006,S00007,2023-07-03,core_api,53,0.53
U0000203,C0006,S00007,2023-07-02,core_api,45,0.45
U0000204,C0006,S00007,2023-06-19,core_api,44,0.44
U0000205,C0006,S00007,2023-07-15,core_api,54,0.54
U0000206,C0006,S00007,2023-06-28,core_api,52,0.52
U0000207,C0006,S00007,2023-05-15,core_api,54,0.54
U0000208,C0006,S00007,2023-06-07,core_api,62,0.62
U0000209,C0006,S00007,2023-05-07,core_api,42,0.42
U0000210,C0006,S00007,2023-06-18,core_api,53,0.53
U0000211,C0006,S00007,2023-06-30,core_api,49,0.49
U0000212,C0006,S00007,2023-05-30,core_api,54,0.54
U0000213,C0006,S00007,2023-06-10,core_api,56,0.56
U0000214,C0006,S00007,2023-04-26,core_api,63,0.63
U0000215,C0006,S00008,2023-10-19,core_api,45,0.45
U0000216,C0006,S00008,2023-12-10,core_api,47,0.47
U0000217,C0006,S00008,2023-11-04,core_api,46,0.46
U0000218,C0006,S00008,2024-07-19,core_api,49,0.49
U0000219,C0006,S00008,2023-12-09,core_api,50,0.5
U0000220,C0006,S00008,2023-08-01,core_api,59,0.59
U0000221,C0006,S00008,2024-07-11,core_api,41,0.41
U0000222,C0006,S00008,2023-09-30,core_api,51,0.51
U0000223,C0006,S00008,2023-10-24,core_api,44,0.44
U0000224,C0006,S00008,2024-04-30,core_api,59,0.59
U0000225,C0006,S00008,2024-05-02,core_api,45,0.45
U0000226,C0006,S00008,2024-02-11,core_api,50,0.5
U0000227,C0006,S00008,2024-01-04,core_api,44,0.44
U0000228,C0006,S00008,2024-03-20,core_api,50,0.5
U0000229,C0006,S00008,2024-06-14,core_api,50,0.5
U0000230,C0006,S00008,2023-09-04,core_api,44,0.44
U0000231,C0006,S00008,2023-12-17,core_api,58,0.58
U0000232,C0006,S00008,2024-03-19,core_api,35,0.35
U0000233,C0006,S00008,2024-01-08,core_api,39,0.39
U0000234,C0006,S00008,2023-11-17,core_api,55,0.55
U0000235,C0006,S00008,2024-04-25,core_api,46,0.46
U0000236,C0006,S00008,2024-07-24,core_api,44,0.44
U0000237,C0006,S00008,2023-11-27,core_api,52,0.52
U0000238,C0006,S00008,2023-12-23,core_api,41,0.41
U0000239,C0006,S00008,2024-01-10,core_api,48,0.48
U0000240,C0006,S00008,2024-04-06,core_api,40,0.4
U0000241,C0006,S00008,2024-04-29,core_api,55,0.55
U0000242,C0006,S00008,2023-10-08,core_api,60,0.6
U0000243,C0006,S00008,2024-04-01,core_api,45,0.45
U0000244,C0006,S00009,2024-12-11,core_api,39,0.39
U0000245,C0006,S00009,2024-11-18,core_api,54,0.54
U0000246,C0006,S00009,2024-11-06,core_api,57,0.57
U0000247,C0006,S00009,2024-09-29,core_api,49,0.49
U0000248,C0006,S00009,2024-10-13,core_api,50,0.5
U0000249,C0006,S00009,2024-11-28,core_api,42,0.42
U0000250,C0006,S00009,2024-10-12,core_api,46,0.46
U0000251,C0006,S00009,2024-11-09,core_api,52,0.52
U0000252,C0006,S00009,2024-09-06,core_api,66,0.66
U0000253,C0006,S00009,2024-09-20,core_api,46,0.46
U0000254,C0006,S00009,2024-12-02,core_api,37,0.37
U0000255,C0006,S00009,2024-12-12,core_api,45,0.45
U0000256,C0006,S00009,2024-08-18,core_api,48,0.48
U0000257,C0006,S00009,2024-09-04,core_api,50,0.5
U0000258,C0006,S00009,2024-08-15,core_api,67,0.67
U0000259,C0006,S00009,2024-08-02,core_api,47,0.47
U0000260,C0006,S00009,2024-09-17,core_api,54,0.54
U0000261,C0006,S00009,2024-08-23,core_api,50,0.5
U0000262,C0006,S00009,2024-07-28,core_api,51,0.51
U0000263,C0006,S00009,2024-09-24,core_api,43,0.43
U0000264,C0006,S00009,2024-10-31,core_api,50,0.5
U0000265,C0006,S00009,2024-10-15,core_api,59,0.59
U0000266,C0006,S00009,2024-10-07,core_api,52,0.52
U0000267,C0006,S00009,2024-08-29,core_api,66,0.66
U0000268,C0006,S00009,2024-09-30,core_api,62,0.62
U0000269,C0006,S00009,2024-12-10,core_api,49,0.49
U0000270,C0006,S00009,2024-08-12,core_api,50,0.5
U0000271,C0006,S00009,2024-10-03,core_api,59,0.59
U0000272,C0006,S00009,2024-09-18,core_api,62,0.62
U0000273,C0006,S00009,2024-09-13,core_api,39,0.39
U0000274,C0006,S00009,2024-11-07,core_api,51,0.51
U0000275,C0006,S00009,2024-11-22,core_api,41,0.41
U0000276,C0006,S00009,2024-07-27,core_api,47,0.47
U0000277,C0006,S00009,2024-10-18,core_api,52,0.52
U0000278,C0006,S00009,2024-09-14,core_api,42,0.42
U0000279,C0006,S00009,2024-10-11,core_api,51,0.51
U0000280,C0006,S00009,2024-12-07,core_api,51,0.51
U0000281,C0006,S00009,2024-11-04,core_api,45,0.45
U0000282,C0006,S00009,2024-08-14,core_api,48,0.48
U0000283,C0006,S00009,2024-11-10,core_api,40,0.4
U0000284,C0006,S00009,2024-12-08,core_api,55,0.55
U0000285,C0006,S00009,2024-12-29,core_api,45,0.45
U0000286,C0006,S00009,2024-09-28,core_api,53,0.53
U0000287,C0006,S00009,2024-09-25,core_api,57,0.57
U0000288,C0006,S00009,2024-12-17,core_api,58,0.58
U0000289,C0006,S00009,2024-08-28,core_api,50,0.5
U0000290,C0006,S00009,2024-10-27,core_api,54,0.54
U0000291,C0006,S00009,2024-07-30,core_api,51,0.51
U0000292,C0006,S00009,2024-11-16,core_api,44,0.44
U0000293,C0006,S00009,2024-11-20,core_api,48,0.48
U0000294,C0006,S00009,2024-08-06,core_api,57,0.57
U0000295,C0006,S00009,2024-11-27,core_api,49,0.49
U0000296,C0006,S00009,2024-11-24,core_api,50,0.5
U0000297,C0006,S00009,2024-10-05,core_api,46,0.46
U0000298,C0006,S00009,2024-11-21,core_api,47,0.47
U0000299,C0006,S00009,2024-12-03,core_api,53,0.53
U0000300,C0006,S00009,2024-08-10,core_api,53,0.53
U0000301,C0006,S00009,2024-10-04,core_api,50,0.5
U0000302,C0007,S00010,2023-07-27,core_api,802,8.02
U0000303,C0007,S00010,2023-02-21,core_api,822,8.22
U0000304,C0007,S00010,2023-07-01,core_api,790,7.9
U0000305,C0007,S00010,2023-04-14,core_api,786,7.86
U0000306,C0007,S00010,2023-03-20,core_api,823,8.23
U0000307,C0007,S00010,2023-05-19,core_api,813,8.13
U0000308,C0007,S00010,2023-03-11,core_api,731,7.31
U0000309,C0007,S00010,2023-06-12,core_api,768,7.68
U0000310,C0007,S00010,2023-05-23,core_api,788,7.88
U0000311,C0007,S00010,2023-03-22,core_api,779,7.79
U0000312,C0007,S00010,2023-03-15,core_api,807,8.07
U0000313,C0007,S00010,2023-05-13,core_api,867,8.67
U0000314,C0007,S00010,2023-08-08,core_api,769,7.69
U0000315,C0007,S00010,2023-02-25,core_api,788,7.88
U0000316,C0007,S00010,2023-03-08,core_api,784,7.84
U0000317,C0007,S00010,2023-03-26,core_api,786,7.86
U0000318,C0007,S00010,2023-04-27,core_api,802,8.02
U0000319,C0007,S00010,2023-03-03,core_api,850,8.5
U0000320,C0007,S00010,2023-07-05,core_api,782,7.82
U0000321,C0007,S00010,2023-03-17,core_api,809,8.09
U0000322,C0007,S00010,2023-03-09,core_api,821,8.21
U0000323,C0007,S00010,2023-04-02,core_api,817,8.17
U0000324,C0007,S00010,2023-08-12,core_api,847,8.47
U0000325,C0007,S00010,2023-06-10,core_api,760,7.6
U0000326,C0007,S00010,2023-07-30,core_api,779,7.79
U0000327,C0007,S00010,2023-06-20,core_api,805,8.05
U0000328,C0007,S00010,2023-06-27,core_api,789,7.89
U0000329,C0007,S00010,2023-02-28,core_api,852,8.52
U0000330,C0007,S00010,2023-05-15,core_api,845,8.45
U0000331,C0007,S00010,2023-02-14,core_api,810,8.1
U0000332,C0007,S00010,2023-02-18,core_api,797,7.97
U0000333,C0007,S00010,2023-03-14,core_api,784,7.84
U0000334,C0007,S00010,2023-06-08,core_api,772,7.72
U0000335,C0007,S00010,2023-03-13,core_api,840,8.4
U0000336,C0007,S00010,2023-05-17,core_api,806,8.06
U0000337,C0007,S00010,2023-07-29,core_api,815,8.15
U0000338,C0007,S00010,2023-04-01,core_api,809,8.09
U0000339,C0007,S00010,2023-06-30,core_api,832,8.32
U0000340,C0007,S00010,2023-05-27,core_api,796,7.96
U0000341,C0007,S00011,2024-03-05,core_api,833,8.33
U0000342,C0007,S00011,2023-10-07,core_api,751,7.51
U0000343,C0007,S00011,2023-11-16,core_api,808,8.08
U0000344,C0007,S00011,2023-12-22,core_api,783,7.83
U0000345,C0007,S00011,2023-12-10,core_api,803,8.03
U0000346,C0007,S00011,2024-02-01,core_api,795,7.95
U0000347,C0007,S00011,2024-01-28,core_api,847,8.47
U0000348,C0007,S00011,2024-05-20,core_api,762,7.62
U0000349,C0007,S00011,2024-06-28,core_api,771,7.71
U0000350,C0007,S00011,2023-11-12,core_api,869,8.69
U0000351,C0007,S00011,2024-09-11,core_api,819,8.19
U0000352,C0007,S00011,2024-05-19,core_api,787,7.87
U0000353,C0007,S00011,2024-01-13,core_api,809,8.09
U0000354,C0007,S00011,2024-12-21,core_api,747,7.47
U0000355,C0007,S00011,2023-08-13,core_api,783,7.83
U0000356,C0007,S00011,2024-02-19,core_api,793,7.93
U0000357,C0007,S00011,2024-01-04,core_api,802,8.02
U0000358,C0007,S00011,2023-11-17,core_api,843,8.43
U0000359,C0007,S00011,2024-02-18,core_api,725,7.25
U0000360,C0007,S00011,2024-04-03,core_api,787,7.87
U0000361,C0007,S00011,2024-01-19,core_api,812,8.12
U0000362,C0007,S00011,2023-12-25,core_api,825,8.25
U0000363,C0007,S00011,2024-05-11,core_api,811,8.11
U0000364,C0007,S00011,2023-10-24,core_api,841,8.41
U0000365,C0007,S00011,2024-06-29,core_api,793,7.93
U0000366,C0007,S00011,2023-09-04,core_api,756,7.56
U0000367,C0007,S00011,2024-10-01,core_api,790,7.9
U0000368,C0007,S00011,2024-10-25,core_api,790,7.9
U0000369,C0007,S00011,2024-05-05,core_api,819,8.19
U0000370,C0007,S00011,2024-01-27,core_api,810,8.1
U0000371,C0007,S00011,2024-06-23,core_api,792,7.92
U0000372,C0007,S00011,2024-10-31,core_api,833,8.33
U0000373,C0008,S00012,2024-10-07,core_api,41,0.41
U0000374,C0008,S00012,2024-10-18,core_api,44,0.44
U0000375,C0008,S00012,2024-11-27,core_api,50,0.5
U0000376,C0008,S00012,2024-10-25,core_api,52,0.52
U0000377,C0008,S00012,2024-12-13,core_api,42,0.42
U0000378,C0008,S00012,2024-11-08,core_api,49,0.49
U0000379,C0008,S00012,2024-11-05,core_api,52,0.52
U0000380,C0008,S00012,2024-11-26,core_api,38,0.38
U0000381,C0008,S00012,2024-10-21,core_api,43,0.43
U0000382,C0008,S00012,2024-12-04,core_api,48,0.48
U0000383,C0008,S00012,2024-11-01,core_api,44,0.44
U0000384,C0008,S00012,2024-12-05,core_api,53,0.53
U0000385,C0008,S00012,2024-10-28,core_api,44,0.44
U0000386,C0008,S00012,2024-12-15,core_api,49,0.49
U0000387,C0008,S00012,2024-11-03,core_api,45,0.45
U0000388,C0008,S00012,2024-10-17,core_api,47,0.47
U0000389,C0008,S00012,2024-12-12,core_api,49,0.49
U0000390,C0008,S00012,2024-11-02,core_api,44,0.44
U0000391,C0008,S00012,2024-11-19,core_api,39,0.39
U0000392,C0008,S00012,2024-11-15,core_api,47,0.47
U0000393,C0008,S00012,2024-11-07,core_api,47,0.47
U0000394,C0008,S00012,2024-11-29,core_api,60,0.6
U0000395,C0008,S00012,2024-09-25,core_api,57,0.57
U0000396,C0008,S00012,2024-09-27,core_api,56,0.56
U0000397,C0008,S00012,2024-10-05,core_api,50,0.5
U0000398,C0008,S00012,2024-12-18,core_api,65,0.65
U0000399,C0008,S00012,2024-12-23,core_api,46,0.46
U0000400,C0008,S00012,2024-09-29,core_api,47,0.47
U0000401,C0008,S00012,2024-09-26,core_api,52,0.52
U0000402,C0008,S00012,2024-10-01,core_api,63,0.63
U0000403,C0008,S00012,2024-10-15,core_api,37,0.37
U0000404,C0008,S00012,2024-11-25,core_api,49,0.49
U0000405,C0008,S00012,2024-11-12,core_api,53,0.53
U0000406,C0008,S00012,2024-10-31,core_api,48,0.48
U0000407,C0008,S00012,2024-10-02,core_api,44,0.44
U0000408,C0008,S00012,2024-10-22,core_api,57,0.57
U0000409,C0008,S00012,2024-10-04,core_api,57,0.57
U0000410,C0008,S00012,2024-12-16,core_api,50,0.5
U0000411,C0008,S00013,2024-12-26,core_api,45,0.45
U0000412,C0008,S00013,2024-12-30,core_api,39,0.39
U0000413,C0008,S00013,2024-12-28,core_api,44,0.44
U0000414,C0008,S00013,2024-12-29,core_api,43,0.43
U0000415,C0008,S00013,2024-12-31,core_api,51,0.51
U0000416,C0008,S00013,2024-12-25,core_api,49,0.49
U0000417,C0008,S00013,2024-12-27,core_api,63,0.63
U0000418,C0009,S00014,2024-04-04,core_api,193,1.93
U0000419,C0009,S00014,2024-08-29,core_api,197,1.97
U0000420,C0009,S00014,2024-09-06,core_api,216,2.16
U0000421,C0009,S00014,2024-06-11,core_api,207,2.07
U0000422,C0009,S00014,2024-04-01,core_api,200,2.0
U0000423,C0009,S00014,2024-03-16,core_api,199,1.99
U0000424,C0009,S00014,2024-12-24,core_api,197,1.97
U0000425,C0009,S00014,2024-12-04,core_api,205,2.05
U0000426,C0009,S00014,2024-11-05,core_api,206,2.06
U0000427,C0009,S00014,2024-04-30,core_api,196,1.96
U0000428,C0009,S00014,2024-08-26,core_api,213,2.13
U0000429,C0009,S00014,2024-04-13,core_api,190,1.9
U0000430,C0009,S00014,2024-09-29,core_api,205,2.05
U0000431,C0009,S00014,2024-03-15,core_api,195,1.95
U0000432,C0009,S00014,2024-04-27,core_api,199,1.99
U0000433,C0009,S00014,2024-11-25,core_api,190,1.9
U0000434,C0009,S00014,2024-08-21,core_api,204,2.04
U0000435,C0009,S00014,2024-12-19,core_api,204,2.04
U0000436,C0009,S00014,2024-07-10,core_api,177,1.77
U0000437,C0009,S00014,2024-09-05,core_api,206,2.06
U0000438,C0009,S00014,2024-08-04,core_api,230,2.3
U0000439,C0009,S00014,2024-07-01,core_api,227,2.27
U0000440,C0009,S00014,2024-09-27,core_api,205,2.05
U0000441,C0009,S00014,2024-03-29,core_api,183,1.83
U0000442,C0009,S00014,2024-06-22,core_api,194,1.94
U0000443,C0009,S00014,2024-10-14,core_api,191,1.91
U0000444,C0009,S00014,2024-12-01,core_api,206,2.06
U0000445,C0009,S00014,2024-11-26,core_api,211,2.11
U0000446,C0009,S00014,2024-07-24,core_api,225,2.25
U0000447,C0009,S00014,2024-10-09,core_api,179,1.79
U0000448,C0009,S00014,2024-06-20,core_api,196,1.96
U0000449,C0009,S00014,2024-05-02,core_api,201,2.01
U0000450,C0009,S00014,2024-04-21,core_api,204,2.04
U0000451,C0009,S00014,2024-06-05,core_api,195,1.95
U0000452,C0009,S00014,2024-09-02,core_api,229,2.29
U0000453,C0009,S00014,2024-09-28,core_api,196,1.96
U0000454,C0010,S00015,2024-08-29,core_api,204,2.04
U0000455,C0010,S00015,2024-06-04,core_api,199,1.99
U0000456,C0010,S00015,2024-10-13,core_api,200,2.0
U0000457,C0010,S00015,2024-07-10,core_api,195,1.95
U0000458,C0010,S00015,2024-08-31,core_api,191,1.91
U0000459,C0010,S00015,2024-11-18,core_api,195,1.95
U0000460,C0010,S00015,2024-10-23,core_api,203,2.03
U0000461,C0010,S00015,2024-12-27,core_api,169,1.69
U0000462,C0010,S00015,2024-09-07,core_api,175,1.75
U0000463,C0010,S00015,2024-09-28,core_api,198,1.98
U0000464,C0010,S00015,2024-11-01,core_api,207,2.07
